,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,Converted_y_N
2967,3.0,3.0,0.3529411764705882,0.021276595744680854,0.02564102564102564,0.0,3.0,9.0,1.0588235294117645,0.06382978723404256,0.07692307692307693,0.0,9.0,1.0588235294117645,0.06382978723404256,0.07692307692307693,0.0,9.0,0.007509386733416772,0.009049773755656108,0.0,1.0588235294117645,0.0005455537370430988,0.0,0.06382978723404256,0.0,0.07692307692307693,0.0,1
700,5.0,2.0,0.21568627450980393,0.01376720901126408,0.07692307692307693,0.0,3.0,10.0,1.0784313725490198,0.0688360450563204,0.38461538461538464,0.0,15.0,0.43137254901960786,0.02753441802252816,0.15384615384615385,0.0,6.0,0.002969398022037351,0.016591251885369532,0.0,0.6470588235294118,0.0010590160777895446,0.0,0.04130162703379224,0.0,0.23076923076923078,0.0,0
3481,5.0,2.0,0.2549019607843137,0.028785982478097626,0.1794871794871795,1.0,3.0,10.0,1.2745098039215685,0.14392991239048814,0.8974358974358975,5.0,15.0,0.5098039215686274,0.05757196495619525,0.358974358974359,2.0,6.0,0.007337603376769982,0.0457516339869281,0.2549019607843137,0.7647058823529411,0.0051667148037611126,0.028785982478097626,0.08635794743429287,0.1794871794871795,0.5384615384615384,3.0,0
1621,4.0,1.0,0.33333333333333337,0.028785982478097626,0.1794871794871795,1.0,3.0,4.0,1.3333333333333335,0.1151439299123905,0.717948717948718,4.0,12.0,0.33333333333333337,0.028785982478097626,0.1794871794871795,1.0,3.0,0.00959532749269921,0.05982905982905984,0.33333333333333337,1.0,0.0051667148037611126,0.028785982478097626,0.08635794743429287,0.1794871794871795,0.5384615384615384,3.0,1
800,4.0,2.0,0.6078431372549019,0.04881101376720901,0.1794871794871795,1.0,5.0,8.0,2.4313725490196076,0.19524405506883605,0.717948717948718,4.0,20.0,1.2156862745098038,0.09762202753441802,0.358974358974359,2.0,10.0,0.029669439740852534,0.10910005027652085,0.6078431372549019,3.0392156862745097,0.008760951188986232,0.04881101376720901,0.24405506883604505,0.1794871794871795,0.8974358974358975,5.0,0
8942,4.0,2.0,0.3137254901960784,0.028785982478097626,0.1794871794871795,1.0,3.0,8.0,1.2549019607843137,0.1151439299123905,0.717948717948718,4.0,12.0,0.6274509803921569,0.05757196495619525,0.358974358974359,2.0,6.0,0.009030896463716902,0.0563097033685269,0.3137254901960784,0.9411764705882353,0.0051667148037611126,0.028785982478097626,0.08635794743429287,0.1794871794871795,0.5384615384615384,3.0,0
3980,4.0,1.0,0.8627450980392156,0.03879849812265332,0.1794871794871795,1.0,6.0,4.0,3.4509803921568625,0.15519399249061328,0.717948717948718,4.0,24.0,0.8627450980392156,0.03879849812265332,0.1794871794871795,1.0,6.0,0.03347321406660286,0.15485168426344895,0.8627450980392156,5.1764705882352935,0.0069638329963736725,0.03879849812265332,0.2327909887359199,0.1794871794871795,1.0769230769230769,6.0,0
3663,5.0,1.0,0.196078431372549,0.01376720901126408,0.07692307692307693,0.0,3.0,5.0,0.980392156862745,0.0688360450563204,0.38461538461538464,0.0,15.0,0.196078431372549,0.01376720901126408,0.07692307692307693,0.0,3.0,0.002699452747306682,0.015082956259426846,0.0,0.588235294117647,0.0010590160777895446,0.0,0.04130162703379224,0.0,0.23076923076923078,0.0,1
7878,5.0,2.0,0.33333333333333337,0.028785982478097626,0.1794871794871795,0.0,3.0,10.0,1.666666666666667,0.14392991239048814,0.8974358974358975,0.0,15.0,0.6666666666666667,0.05757196495619525,0.358974358974359,0.0,6.0,0.00959532749269921,0.05982905982905984,0.0,1.0,0.0051667148037611126,0.0,0.08635794743429287,0.0,0.5384615384615384,0.0,1
2330,2.0,2.0,0.3529411764705882,0.08886107634543179,0.1794871794871795,1.0,3.0,4.0,0.7058823529411764,0.17772215269086358,0.358974358974359,2.0,6.0,0.7058823529411764,0.17772215269086358,0.358974358974359,2.0,6.0,0.03136273282779945,0.06334841628959276,0.3529411764705882,1.0588235294117645,0.015949423959436475,0.08886107634543179,0.2665832290362954,0.1794871794871795,0.5384615384615384,3.0,0
5843,5.0,2.0,0.0,0.01877346683354193,0.3846153846153846,1.0,2.0,10.0,0.0,0.09386733416770965,1.923076923076923,5.0,10.0,0.0,0.03754693366708386,0.7692307692307692,2.0,4.0,0.0,0.0,0.0,0.0,0.007220564166746895,0.01877346683354193,0.03754693366708386,0.3846153846153846,0.7692307692307692,2.0,0
640,5.0,1.0,0.5294117647058824,0.03879849812265332,0.1794871794871795,0.0,4.0,5.0,2.6470588235294117,0.1939924906132666,0.8974358974358975,0.0,20.0,0.5294117647058824,0.03879849812265332,0.1794871794871795,0.0,4.0,0.020540381359051757,0.09502262443438914,0.0,2.1176470588235294,0.0069638329963736725,0.0,0.15519399249061328,0.0,0.717948717948718,0.0,1
